dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
USPS,4,0.5,SSF,0.9532,0.9496,0.9492,0.9492,1792,27.43,0.4791
USPS,4,0.5,Adapter,0.9636,0.9618,0.9613,0.9615,25440,38.69,0.4998
USPS,4,0.5,LoRA,0.9641,0.9616,0.9627,0.9619,49704,63.07,0.6866
USPS,4,0.5,LFW(ours),0.9412,0.9377,0.9364,0.9359,3072,24.78,0.4571
USPS,4,0.5,FFT,0.9626,0.9600,0.9602,0.9599,1218186,46.14,0.4589
USPS,4,1,LinearProbe,0.9397,0.9359,0.9331,0.9343,1290,41.73,0.4645
USPS,4,1,BitFit,0.9552,0.9511,0.9521,0.9514,8714,101.84,0.4604
USPS,4,1,SSF,0.9631,0.9606,0.9605,0.9604,1792,152.58,0.4759
USPS,4,1,Adapter,0.9631,0.9619,0.9601,0.9609,25440,111.53,0.5094
USPS,4,1,LoRA,0.9641,0.9623,0.9621,0.9621,49704,145.38,0.7003
USPS,4,1,LFW(ours),0.9477,0.9431,0.9452,0.9437,3072,72.69,0.4556
USPS,4,1,FFT,0.9666,0.9645,0.9647,0.9645,1218186,115.32,0.4626
C10C_gaussian_noise,0,1,ZeroShot,0.4872,0.4876,0.4872,0.4697,0,0.0,0.5259
C10C_gaussian_noise,0,0.05,LinearProbe,0.4872,0.4876,0.4872,0.4697,1290,0.59,0.4871
C10C_gaussian_noise,0,0.05,BitFit,0.4938,0.4916,0.4938,0.4821,8714,1.28,0.5433
C10C_gaussian_noise,0,0.05,SSF,0.4872,0.4876,0.4872,0.4697,1792,1.16,0.4844
C10C_gaussian_noise,0,0.05,Adapter,0.4872,0.4876,0.4872,0.4697,25440,1.01,0.5013
C10C_gaussian_noise,0,0.05,LoRA,0.4934,0.4911,0.4934,0.4887,49704,3.11,0.7873
C10C_gaussian_noise,0,0.05,LFW(ours),0.4872,0.4876,0.4872,0.4697,3072,1.21,0.4551
C10C_gaussian_noise,0,0.05,FFT,0.4988,0.4954,0.4988,0.4898,1218186,2.17,0.4927
C10C_gaussian_noise,0,0.1,LinearProbe,0.4996,0.4952,0.4996,0.4949,1290,1.78,0.5270
C10C_gaussian_noise,0,0.1,BitFit,0.4918,0.4906,0.4918,0.4838,8714,2.79,0.4536
C10C_gaussian_noise,0,0.1,SSF,0.5044,0.5066,0.5044,0.5029,1792,6.02,0.4830
C10C_gaussian_noise,0,0.1,Adapter,0.5082,0.5108,0.5082,0.5072,25440,5.05,0.5590
C10C_gaussian_noise,0,0.1,LoRA,0.5094,0.5073,0.5094,0.5065,49704,4.66,0.8114
C10C_gaussian_noise,0,0.1,LFW(ours),0.4952,0.4962,0.4952,0.4800,3072,3.02,0.4819
C10C_gaussian_noise,0,0.1,FFT,0.4976,0.4952,0.4976,0.4898,1218186,3.32,0.4736
C10C_gaussian_noise,0,0.2,LinearProbe,0.4978,0.4941,0.4978,0.4940,1290,7.09,0.4679
C10C_gaussian_noise,0,0.2,BitFit,0.5124,0.5089,0.5124,0.5091,8714,14.12,0.4635
C10C_gaussian_noise,0,0.2,SSF,0.5090,0.5040,0.5090,0.5040,1792,14.26,0.4811
C10C_gaussian_noise,0,0.2,Adapter,0.5070,0.5033,0.5070,0.5025,25440,12.17,0.4896
C10C_gaussian_noise,0,0.2,LoRA,0.5140,0.5144,0.5140,0.5120,49704,8.56,0.7040
C10C_gaussian_noise,0,0.2,LFW(ours),0.4872,0.4876,0.4872,0.4697,3072,4.35,0.4478
C10C_gaussian_noise,0,0.2,FFT,0.5122,0.5070,0.5122,0.5083,1218186,12.81,0.4589
C10C_gaussian_noise,0,0.5,LinearProbe,0.5100,0.5066,0.5100,0.5074,1290,7.71,0.4539
