dataset,seed,sigma,method,f1,acc
Credit-g,4,0.5,ZeroShot,0.406176,0.684000
Credit-g,4,0.5,LFW(ours),0.492268,0.596000
Credit-g,4,0.5,FFT,0.425939,0.676000
Credit-g,4,0.5,BitFit,0.406176,0.684000
Credit-g,4,1.0,ZeroShot,0.406176,0.684000
Credit-g,4,1.0,LFW(ours),0.462531,0.552000
Credit-g,4,1.0,FFT,0.480499,0.688000
Credit-g,4,1.0,BitFit,0.406176,0.684000
WDBC,0,0.1,ZeroShot,0.962940,0.965035
WDBC,0,0.1,LFW(ours),0.962940,0.965035
WDBC,0,0.1,FFT,0.962940,0.965035
WDBC,0,0.1,BitFit,0.962940,0.965035
WDBC,0,0.5,ZeroShot,0.932281,0.937063
WDBC,0,0.5,LFW(ours),0.932281,0.937063
WDBC,0,0.5,FFT,0.947330,0.951049
WDBC,0,0.5,BitFit,0.932281,0.937063
WDBC,0,1.0,ZeroShot,0.874852,0.881119
WDBC,0,1.0,LFW(ours),0.874852,0.881119
WDBC,0,1.0,FFT,0.888820,0.895105
WDBC,0,1.0,BitFit,0.874852,0.881119
WDBC,1,0.1,ZeroShot,0.853238,0.867133
WDBC,1,0.1,LFW(ours),0.853238,0.867133
WDBC,1,0.1,FFT,0.892366,0.902098
WDBC,1,0.1,BitFit,0.853238,0.867133
WDBC,1,0.5,ZeroShot,0.766300,0.797203
WDBC,1,0.5,LFW(ours),0.766300,0.797203
WDBC,1,0.5,FFT,0.800825,0.825175
WDBC,1,0.5,BitFit,0.766300,0.797203
WDBC,1,1.0,ZeroShot,0.791444,0.811189
WDBC,1,1.0,LFW(ours),0.791444,0.811189
WDBC,1,1.0,FFT,0.823976,0.839161
WDBC,1,1.0,BitFit,0.791444,0.811189
WDBC,2,0.1,ZeroShot,0.904906,0.909091
WDBC,2,0.1,LFW(ours),0.904906,0.909091
WDBC,2,0.1,FFT,0.895073,0.902098
WDBC,2,0.1,BitFit,0.904906,0.909091
WDBC,2,0.5,ZeroShot,0.887135,0.895105
WDBC,2,0.5,LFW(ours),0.887135,0.895105
WDBC,2,0.5,FFT,0.892366,0.902098
WDBC,2,0.5,BitFit,0.887135,0.895105
WDBC,2,1.0,ZeroShot,0.823976,0.839161
WDBC,2,1.0,LFW(ours),0.823976,0.839161
WDBC,2,1.0,FFT,0.844768,0.860140
WDBC,2,1.0,BitFit,0.823976,0.839161
WDBC,3,0.1,ZeroShot,0.939560,0.944056
WDBC,3,0.1,LFW(ours),0.939560,0.944056
WDBC,3,0.1,FFT,0.955031,0.958042
WDBC,3,0.1,BitFit,0.939560,0.944056
WDBC,3,0.5,ZeroShot,0.854141,0.860140
WDBC,3,0.5,LFW(ours),0.854141,0.860140
WDBC,3,0.5,FFT,0.903644,0.909091
WDBC,3,0.5,BitFit,0.854141,0.860140
WDBC,3,1.0,ZeroShot,0.798413,0.811189
WDBC,3,1.0,LFW(ours),0.798413,0.811189
WDBC,3,1.0,FFT,0.860129,0.867133
WDBC,3,1.0,BitFit,0.798413,0.811189
WDBC,4,0.1,ZeroShot,0.933292,0.937063
WDBC,4,0.1,LFW(ours),0.933292,0.937063
WDBC,4,0.1,FFT,0.947737,0.951049
WDBC,4,0.1,BitFit,0.933292,0.937063
WDBC,4,0.5,ZeroShot,0.925614,0.930070
WDBC,4,0.5,LFW(ours),0.925614,0.930070
WDBC,4,0.5,FFT,0.925614,0.930070
WDBC,4,0.5,BitFit,0.925614,0.930070
WDBC,4,1.0,ZeroShot,0.925614,0.930070
WDBC,4,1.0,LFW(ours),0.925614,0.930070
WDBC,4,1.0,FFT,0.917872,0.923077
WDBC,4,1.0,BitFit,0.925614,0.930070
